Seconds,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9
76,88.45,79.34,90.73,76.73,77.06,80.45,65.67,75.28,83.84
76.25,88.56,79.51,93.62,76.9,77.28,80.78,65.67,75.56,84.62
76.5,88.67,79.78,96.17,77.12,77.4,81.45,65.67,75.4,85.28
76.75,88.78,79.95,98.17,77.17,77.51,82.56,66.01,75.34,85.78
77,89.12,80.23,101.34,77.34,77.78,84.34,65.95,75.34,85.4
77.25,89.12,80.4,103.62,77.51,77.84,86.28,65.95,75.51,84.78
77.5,89.28,80.62,103.34,77.62,77.95,88.34,66.23,75.34,83.95
77.75,89.28,81.01,101.51,77.78,78.12,88.67,66.51,75.28,83.17
78,89.28,81.12,100.28,78.01,78.17,86.84,66.45,75.62,82.78
78.25,89.28,81.34,98.34,78.23,78.28,85.4,66.28,76.01,82.45
78.5,89.51,81.56,96.45,78.4,78.34,84.06,66.4,76.34,82.17
78.75,89.84,81.78,95.4,78.62,78.62,83.06,66.45,76.51,81.95
79,90.28,82.01,95.95,78.78,78.9,82.28,66.4,76.62,81.95
79.25,90.62,82.23,96.73,78.95,79.17,81.9,66.34,76.45,81.84
79.5,90.84,82.51,96.95,79.12,79.4,81.62,66.4,76.28,81.95
79.75,91.23,82.67,96.67,79.28,79.62,81.84,66.62,76.51,82.23
80,91.34,82.78,96.56,79.45,79.67,81.95,66.56,76.56,82.67
80.25,91.34,83.06,96.34,79.56,79.84,82.12,66.67,76.56,83.34
80.5,91.4,83.28,96.4,79.73,79.84,82.34,66.62,76.67,84.12
80.75,91.34,83.45,95.9,79.84,79.84,82.84,66.56,77.12,85.17
81,91.23,83.45,95.06,80.12,79.9,83.67,66.62,77.17,86.4
81.25,91.12,83.67,94.17,80.12,79.78,84.9,66.56,77.01,86.84
81.5,91.17,83.73,95.51,80.34,79.84,87.51,66.67,76.84,85.78
81.75,91.34,83.9,99.23,80.45,79.78,89.62,66.67,76.9,84.95
82,91.45,83.9,101.51,80.51,79.67,91.23,66.45,76.95,84.45
82.25,91.56,84.01,105.06,80.62,79.73,91.23,66.4,77.17,84.4
82.5,91.67,84.12,107.67,80.73,79.73,88.84,66.45,77.34,84.84
82.75,91.67,84.17,109.56,80.9,79.73,86.56,66.4,77.56,85.4
83,91.73,84.23,108.56,81.06,79.84,85.34,66.4,78.06,86.12
83.25,91.67,84.4,106.06,81.23,80.12,84.78,66.34,77.95,86.62
83.5,91.73,84.56,103.73,81.4,80.4,84.67,66.4,77.73,87.17
83.75,91.73,84.78,101.9,81.67,80.62,85.06,66.28,77.73,87.73
84,91.78,85.06,99.9,81.78,80.78,86.34,66.34,77.84,87.23
84.25,91.78,85.23,98.06,82.06,81.06,87.06,66.23,77.84,86.28
84.5,91.84,85.45,96.78,82.12,81.17,87.23,66.28,78.01,85.84
84.75,91.78,85.62,95.73,82.28,81.28,86.78,66.28,78.23,85.4
85,91.84,85.84,94.51,82.4,81.34,86.78,66.34,78.23,85.51
85.25,91.9,85.95,94.73,82.51,81.28,85.78,66.28,78.17,85.73
85.5,92.12,86.12,95.51,82.56,81.34,85.34,66.4,78.34,86.28
85.75,92.51,86.23,96.84,82.67,81.45,85.06,66.4,78.4,87.01
86,92.9,86.4,98.56,82.84,81.45,85.51,66.45,78.28,88.01
86.25,93.17,86.51,101.17,82.95,81.62,86.06,66.51,78.28,89.28
86.5,93.51,86.56,103.06,83.01,81.67,87.12,66.62,78.45,90.51
86.75,93.62,86.62,105.67,83.12,81.67,88.67,66.62,78.4,90.51
87,93.78,86.73,107.56,83.17,81.73,90.4,66.73,78.23,89.67
87.25,93.95,86.84,107.34,83.28,81.73,91.95,66.78,78.23,88.78
